epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1129.49,1.90607,1.45546,1.37233,0.85622,0.79078,0.86133,0.42004,1.75544,0.97126,1.315,0.000664694,0.000664694,0.000664694
2,2583.23,1.73311,1.01263,1.26731,0.88515,0.82197,0.89501,0.47014,1.6574,0.92025,1.26251,0.001305,0.001305,0.001305
3,3655.97,1.70449,0.96026,1.25426,0.87143,0.82262,0.89691,0.4748,1.62768,0.87101,1.28004,0.00191891,0.00191891,0.00191891
4,4732.81,1.68574,0.93427,1.24805,0.87732,0.82202,0.89997,0.48687,1.59791,0.88151,1.25702,0.0018812,0.0018812,0.0018812
5,7894.06,1.66808,0.89628,1.23544,0.83117,0.79531,0.86321,0.4448,1.67928,0.94153,1.30689,0.0018416,0.0018416,0.0018416
6,9194.83,1.65089,0.87484,1.23174,0.87297,0.83641,0.90394,0.4777,1.61989,0.85564,1.27147,0.001802,0.001802,0.001802
